timestamp,total_icp_wl_needed,total_icp_in_wallets,percentage
2025-06-27T22:12:00.320739,1720,782.76876025,45.50981164244186
2025-06-28T06:55:46.187972,1720,1131.89196826,65.80767257325581
2025-06-28T08:50:29.107472,1720,1270.22170595,73.85009918313953
2025-06-28T09:36:21.525759,1760,1575.98039732,89.54434075681819
2025-06-28T09:47:36.649381,1760,1611.97593482,91.58954175113637
2025-06-28T09:53:53.414254,1760,1612.471817,91.61771687500001
2025-06-28T10:02:16.726310,1760,1613.8718170000002,91.69726232954547
2025-06-28T10:10:37.258304,1760,1628.2891222,92.51642739772727
2025-06-28T10:17:35.933776,1760,1673.03512811,95.05881409715909
2025-06-28T10:23:59.959086,1760,1673.03512811,95.05881409715909
2025-06-28T10:30:20.491583,1760,1673.03512811,95.05881409715909
2025-06-28T10:36:42.390179,1760,1673.03512811,95.05881409715909
2025-06-28T10:43:01.096680,1760,1673.03512811,95.05881409715909
2025-06-28T10:49:30.201834,1760,1733.9792534499995,98.52154849147725
2025-06-28T10:55:53.313403,1760,1750.2466458999995,99.44583215340906
2025-06-28T11:02:17.297798,1760,1654.6622366300003,94.01489980852274
2025-06-28T11:08:35.285843,1760,1441.6289832000002,81.91073768181819
2025-06-28T11:14:53.642055,1760,1332.3423716300003,75.70127111534093
2025-06-28T11:21:12.237826,1760,1246.3405716300003,70.81480520625001
2025-06-28T11:27:31.666459,1760,1211.40244546,68.82968440113638
2025-06-28T11:33:48.153117,1760,1176.4017454600003,66.84100826477274
2025-06-28T11:41:31.124013,1760,1147.4007454600003,65.19322417386365
2025-06-28T11:49:04.489416,1760,1163.40054546,66.10230371931819
2025-06-28T11:57:13.073397,1760,1158.4004454600001,65.8182071284091
2025-06-28T12:04:27.829789,1760,1138.6160146200002,64.69409173977274
2025-06-28T12:08:03.673276,1760,1113.6254146200001,63.274171285227276
2025-06-28T12:19:23.876685,1760,1038.62371462,59.01271105795455
2025-06-28T12:30:40.529421,1760,999.6228146199998,56.79675083068181
2025-06-28T12:41:59.771281,1760,949.6215146199999,53.95576787613635
2025-06-28T12:53:17.857740,1760,924.6219146199998,52.53533605795453
2025-06-28T13:04:44.650558,1760,904.6215146199999,51.398949694318176
2025-06-28T13:16:05.585841,1760,899.6214146199999,51.11485310340909
2025-06-28T13:27:26.900227,1760,874.6209146199998,49.69437014886363
2025-06-28T13:39:05.422031,1760,874.7208146199998,49.70004628522726
2025-06-28T13:50:22.614845,1760,874.7208146199998,49.70004628522726
2025-06-28T14:01:40.382330,1760,869.7207146199999,49.41594969431817
